Word	Local clustering
0.1	1.0
0.8	1.0
1	0.2506
1-1/2-hour	0.0
1-800-helpnow	1.0
1-800-towtruck	1.0
1.2	1.0
1.4	1.0
1.7	1.0
10	0.4487
10-day	0.4167
10-hour	0.6667
10-member	0.3333
10-mile	0.8333
10-month-old	0.0
10-times	0.0
10-year	0.5833
10-year-old	0.4
100	0.3333
100-ounce	1.0
102	0.6667
102-story	1.0
103	1.0
10th	0.9333
11	0.4596
11-day	1.0
11-day-old	1.0
11-member	0.3333
11-month	1.0
11-month-old	0.0
11-pres_bush	1.0
110-floor	0.3
110-storey	1.0
110-story	0.2694
114-page	0.0
116	1.0
11th	1.0
12	0.5758
12-strong	0.0
12-year	0.5
128-member	1.0
12th	1.0
13	0.4444
13-hour	0.0
13-minute	1.0
13-year-old	0.3
130	0.6389
1360-foot	0.3333
13th	1.0
14	0.3929
14-day	0.3333
140	1.0
142	1.0
148	1.0
15	0.5273
15-feet	0.0
15-member	0.5333
15-month	0.0
15-nation	0.8333
15-percent	0.0
15-tonkh-11	0.0
150	1.0
152	1.0
156	1.0
157	1.0
15th	1.0
16	0.4286
16-acre	0.4725
16-agency	1.0
16-gate	1.0
16-minute	1.0
16-month	0.0
16-month-old	0.0
16-year	0.6
17	0.6111
17-year	0.1667
17-year-old	0.0
1750s	1.0
18	0.4643
18-month	0.6
18-page	0.0
18-wheelers	0.3333
18-year	0.6667
18-year-old	0.3929
180	0.6667
187	1.0
189	0.7857
189-member	0.5714
189-nation	0.4
19	0.5897
19-buildng	1.0
19-nation	0.6
19-to-11	0.0
19-year-old	0.4667
190-person	0.0
1960s	1.0
1963	1.0
1972	1.0
1976	1.0
1978	1.0
1986	1.0
1987	1.0
1988	1.0
1991	0.4386
1993	1.0
1997	1.0
1998	0.5165
1999	1.0
19th-century	0.0
2	0.1778
2-1/2	1.0
2-to-1	1.0
20	0.5333
20-day	1.0
20-feet	0.0
200	1.0
2001	0.3556
2002	1.0
21	1.0
21-member	0.6889
21-page	0.0
21-year	0.8333
21-year-old	0.2667
210	1.0
214	1.0
218	1.0
21st	1.0
22-member	0.5
22-nation	0.8333
22-year	1.0
22-year-old	0.0
23-page	1.0
23-year-old	0.1333
24	0.6727
24-hour	0.4
24-year-old	0.3333
25-cm	1.0
25-year	0.6667
25-year-old	1.0
26	1.0
26-year-old	0.1
266	1.0
27	0.4444
27-year-old	0.2727
272	1.0
28	0.4222
28-story	1.0
28-year-old	0.5273
28th	0.8727
29-year-old	1.0
29th	1.0
3	1.0
3-month	1.0
3-month-old	0.5333
3-pointer	0.0
3-week-old	1.0
3-year-old	0.0
3.2-km	0.0
30	0.5495
30-country	0.0
30-minute	0.2
30-year-old	0.6667
30th	1.0
31-year-old	0.2879
32	1.0
32-year	1.0
32-year-old	0.0
320	1.0
33	1.0
33-megawatt	1.0
336	1.0
34-day-old	1.0
35-member	1.0
35-year-old	0.2917
36-pound	0.0
36-year-old	0.3091
37th	1.0
38-year-old	0.4286
39	0.5333
39-year	0.75
39-year-old	0.7143
4	0.5333
4-year	0.0
4.9	1.0
40	0.4643
40-day	1.0
40-year-old	0.3333
400-plus	1.0
400-year	1.0
41-meter	0.5
41-year-old	0.2
42	1.0
42-page	0.0
42-year-old	0.6667
42nd	1.0
43-year-old	0.4722
44-year-old	0.1455
45	1.0
45-minute	0.0
47-story	0.6667
47-year-old	0.1
475	1.0
48-year-old	0.6667
49-year-old	0.2
4th	1.0
5.4	0.8889
50	0.4286
50-minute	0.6667
50-passenger	0.3333
50-plus	0.0
50-story	0.3333
50-year-old	0.3333
500	1.0
500-lb	1.0
500-pound	1.0
51-year-old	0.3333
52	1.0
52-year	1.0
53-year-old	0.0
54-story	0.6667
54-year	1.0
54-year-old	0.5
55-gallon	0.0
55-year-old	0.0
56-member	1.0
56-nation	0.6667
56-year-old	0.35
58-year-old	0.6
59-year-old	0.3333
6	1.0
60	0.5
60-day	0.3556
60-plus	1.0
60-story	0.6667
60-year-old	0.0
600	0.5
600-tonne-a-day	1.0
608	1.0
61-year-old	0.4795
619	0.8214
61st	1.0
62	0.8333
63-year-old	0.4239
633	1.0
63rd	1.0
64	1.0
65-percent	0.0
66	1.0
684.81-point	0.0
69-year-old	0.0
7-month-old	0.3333
7-year-old	0.1
7.3	1.0
70	1.0
700	0.4
71	1.0
71-year-old	0.3333
72-hour	1.0
73-year-old	0.5
74-year-old	0.8333
75	1.0
756	1.0
767	1.0
77	1.0
77-year-old	0.6667
78	0.3333
78-year-old	0.5
7:00	1.0
7:30	1.0
8	0.6282
80	0.5333
80-member	0.6667
800	1.0
800-givelife	0.0
803	1.0
81	1.0
81-year-old	0.0
820-foot	0.0
83-year-old	0.0
86	1.0
86-year-old	0.4286
87-year-old	0.5833
879-strong	1.0
9-mm	1.0
9-to-5	0.0
90	1.0
90-day	1.0
90-percent	1.0
900-kg	0.3333
91-percent	1.0
95	0.7
98-year-old	0.7143
99-year	0.6667
99.5	1.0
N1000	1.0
N1000-pound	0.6667
N1005	1.0
N1082	1.0
N120000	1.0
N1215	1.0
N1216	1.0
N1233	1.0
N1300-year-old	0.1905
N132000	1.0
N18000	1.0
N2000	0.3333
N2000-lb	0.0
N2000-pound	0.7333
N200000	1.0
N2200-calorie	0.0
N2263	1.0
N2500-km	1.0
N31000	0.4
N3285	1.0
N3700	1.0
N4000	1.0
N40000	1.0
N40000-tonuss	0.0
N43000	1.0
N450000	1.0
N4620	1.0
N4763	1.0
N5000	1.0
N5000-pound	0.7
N52000	1.0
N57545-capacity	0.5
N5756	1.0
N5766	1.0
N6000	0.6
N6453	1.0
a	0.2483
a$8.95	0.0
a$9.37	0.0
a-10	0.0
a-changin	0.0
a-half	1.0
a-plus	0.6667
a-rabs	0.0
a.g	0.0
a.m.	0.2298
a300	0.7111
a_go	0.0
a_little_bit	0.1273
a_must	1.0
aa	1.0
aaa	0.0
aamir	1.0
aaran	1.0
aaron	0.3611
abandon	0.175
abate	0.3333
abbas	0.2794
abc	0.211
abc-television	0.3333
abc_news	0.2857
abc_news/washington	0.7
abd	0.3333
abdallah	0.381
abdel	0.4286
abdel-rahman	0.0
abdelaziz	0.8
abdelbari	0.0
abdi	0.1053
abdirashid	0.0
abdolkarim	0.0
abdolvahed	1.0
abdominal	0.0
abdoor	1.0
abdoulah	0.0667
abdul	0.186
abdul-aziz	0.5636
abdul-rahman	1.0
abdul_salam_zaeef	0.4901
abdulaziz_alomari	0.0
abdulilah	1.0
abdullah	0.2389
abdur	1.0
abell	0.0
aberrant	1.0
aberration	0.0
abet	0.6667
abete	0.0
ability	0.2337
abm	0.5
abn	0.0
abner	1.0
abnormal	0.0
abominable	0.6667
abortion	0.4
abortion-right	0.6667
abortive	1.0
about-turn	0.0
above-ground	0.1667
abraham	0.2857
abritto	0.0
abrupt	0.0
absence	0.1282
absolute	0.0909
abstract	0.8333
absurd	0.6667
abu	0.1412
abu_dhabi	0.2967
abul	1.0
abundance	0.3
abuse	0.3067
abusive	1.0
